,ID,year,month,location,no2,o3,co,so2,pm10,pm2.5,address,Y,pop_men<10s,pop_men10s,pop_men20s,pop_men30s,pop_men40s,pop_men50s,pop_men60s,pop_men>70s,pop_women<10s,pop_women10s,pop_women20s,pop_women30s,pop_women40s,pop_women50s,pop_women60s,pop_women>70s,x,y,height,road,tree,building,river,a_d_classification,car_sedan,car_van,car_twowheels,car_special,car_truck,gu
10,11,2019,1,금천구,0.043741935,0.011580645,0.725806452,0.005193548,63.96774194,39.61290323,서울 금천구 금하로21길 20 시흥5동 주민센터,3,606.7012271,293.6032406,580.4494503,824.6460426,774.683899,749.8714845,707.8746926,922.8836213,612.5769103,304.5491881,593.6741868,771.4528442,693.2731816,790.5609413,837.7336416,1389.36379,37.45233457,126.9080537,25,0,0,1,0,11180,69195,4461,11515,158,13472,금천구
11,12,2019,1,남산,0.039516129,0.016032258,1.122580645,0.005903226,63.67741935,30,서울 용산구 남산공원길 103 (서울타워 별관 2층),2,441.6722137,219.7868938,560.614046,776.7218938,708.051472,555.3526829,461.2684319,730.1202558,468.709401,230.0939897,652.0131444,784.5932895,655.8033228,518.5133696,545.8996861,1235.73768,37.5511821,126.9876498,260,0,1,0,0,11030,67740,2590,15983,135,7131,용산구
12,13,2019,1,노원구,0.040193548,0.011451613,0.812903226,0.007096774,68.16129032,41.90322581,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),3,1047.097934,695.6687564,1074.478002,806.9868491,1018.494413,1070.929903,936.116501,1345.696165,1031.15477,673.1441377,1120.743614,904.4971056,1143.578899,1214.735957,1166.248604,2406.169418,37.65748313,127.0678641,30,0,0,1,0,11110,134082,5850,14886,343,13545,노원구
13,14,2019,1,도산대로,0.035064516,0.009580645,1.022580645,0.004225806,70.80645161,38.32258065,서울 강남구 도산대로 104 신사역2번출구 앞,3,927.0479743,602.9446955,921.7552315,1214.62868,1347.416389,1085.880496,798.8535318,1243.606349,904.5281289,570.9527232,1067.528055,1294.366411,1278.060354,993.7924985,998.258234,1822.240094,37.51607746,127.0203412,24,1,0,1,0,11230,211579,6337,16766,402,16506,강남구
14,15,2019,1,동대문구,0.036903226,0.013483871,0.832258065,0.008290323,61.51612903,42.29032258,서울 동대문구 천호대로13길 43 용두초등학교,3,816.7235355,411.8434982,1111.353789,862.8441387,939.700535,834.2178712,771.1304735,1286.090412,754.8901376,379.9824622,1268.090615,872.5668993,839.8773334,873.5583622,938.408076,2115.151139,37.57640498,127.028382,18,1,0,1,0,11060,81190,3904,23663,175,13184,동대문구
15,16,2019,1,동작구,0.044322581,0.013193548,0.674193548,0.004290323,63.93548387,39.74193548,서울 동작구 사당로16아길 6 사당4동 주민센터,3,896.882088,422.4793746,1067.874115,1106.109351,1014.990769,833.539054,796.6920935,1328.531524,946.0032716,428.3781209,1191.977608,1121.154935,991.3212871,951.5686781,1048.108626,2114.648055,37.48097575,126.9716337,26,0,0,1,0,11200,93380,3461,14962,386,8977,동작구
16,17,2019,1,동작대로,0.039451613,0.007612903,0.790322581,0.007774194,71.38709677,36,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,3,896.882088,422.4793746,1067.874115,1106.109351,1014.990769,833.539054,796.6920935,1328.531524,946.0032716,428.3781209,1191.977608,1121.154935,991.3212871,951.5686781,1048.108626,2114.648055,37.48945977,126.9824745,12,1,0,1,0,11200,93380,3461,14962,386,8977,동작구
17,18,2019,1,마포구,0.03,0.010322581,0.677419355,0.003483871,73.29032258,38.22580645,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,3,864.2507339,487.8311776,1177.814615,1182.492923,1188.487616,874.451055,690.4706458,1073.838645,867.3184567,488.1769774,1511.70219,1345.578468,1211.299964,913.5320687,851.0555071,1825.948582,37.55558837,126.9055913,8,0,0,1,0,11140,101177,4401,17048,244,12221,마포구
18,19,2019,1,북한산,0.017451613,0.022806452,0.65483871,0.00416129,57.16129032,33.03225806,서울 강북구 삼양로 181길 387 (우이령 전경대 위),2,794.4888583,437.9833558,809.6333801,770.4861037,899.0332385,851.6552734,797.3604509,1481.038718,732.0702926,402.6557012,981.7042315,778.1785288,888.318072,989.7115318,1032.929955,2411.357303,37.67901408,127.002294,114,0,1,0,0,11090,63859,4032,21754,156,9371,강북구
19,20,2019,1,서대문구,0.032354839,0.012451613,1.122580645,0.005419355,65.74193548,39.03225806,서울 서대문구 세검정로4길 32 (홍제3동 주민센터),3,837.9493809,410.0247115,1058.830419,916.6602795,991.1767747,861.0024136,750.4428023,1253.254905,819.6825099,406.3440855,1544.77731,1054.109084,966.282479,946.6070459,924.5534908,2038.453027,37.59376657,126.9496911,44,0,0,1,0,11130,74741,3429,14879,314,8660,서대문구
20,21,2019,1,서초구,0.038,0.012258065,0.506451613,0.005096774,63.41935484,29.67741935,서울 서초구 신반포로15길 16 반포 2동 주민센터,2,926.6161369,527.5332651,856.4043586,1037.302014,1205.927117,988.9334616,776.5741118,1258.342268,1009.660905,576.0992014,913.6587256,1123.368663,1192.077696,943.8392927,957.0848002,1899.119346,37.50458542,126.9944717,10,0,0,1,0,11220,159548,5206,13006,345,17140,서초구
21,22,2019,1,성동구,0.041903226,0.011903226,0.732258065,0.004032258,75.32258065,41.19354839,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,3,715.9811681,307.9951886,939.6793285,887.3765636,800.3747157,683.9423731,600.6612696,837.3243954,639.901374,285.1107486,1028.09298,940.7402611,730.5379554,690.3040169,741.7904019,1422.251462,37.54203238,127.0496885,11,0,0,1,0,11040,90341,4029,20522,178,11194,성동구
22,23,2019,1,성북구,0.045096774,0.012387097,0.974193548,0.004677419,64,31.93548387,서울 성북구 삼양로2길 70 길음2동 주민센터,2,911.3167324,510.769396,860.2558618,681.3937403,823.8230658,752.8082803,688.2607189,1117.634824,819.0125608,448.3550466,1081.129486,752.3538745,866.1845861,833.8084527,849.2934882,1905.059914,37.60681328,127.0272803,34,1,0,1,0,11080,100121,5304,26201,154,11045,성북구
23,24,2019,1,세곡,0.04316129,0.01183871,1.767741935,0.006612903,63.32258065,30.5483871,서울 강남구 밤고개로 337 (세곡사거리),2,927.0479743,602.9446955,921.7552315,1214.62868,1347.416389,1085.880496,798.8535318,1243.606349,904.5281289,570.9527232,1067.528055,1294.366411,1278.060354,993.7924985,998.258234,1822.240094,37.46408289,127.1090843,23,1,0,0,0,11230,211579,6337,16766,402,16506,강남구
24,25,2019,1,송파구,0.047129032,0.009032258,0.767741935,0.00516129,68.12903226,36.70967742,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),3,1114.09669,579.1665769,814.5149318,1064.819211,1146.576221,981.7389854,879.8960197,1161.204206,1129.340402,590.8096225,873.261494,1187.65915,1126.422754,1066.984462,1123.57058,1792.447691,37.50272901,127.0925211,14,1,0,1,0,11240,203131,7329,19586,389,26847,송파구
25,26,2019,1,시흥대로,0.047903226,0.011290323,0.861290323,0.005774194,57.90322581,33.4516129,서울 금천구 독산동 996-9 한양수자인아파트 앞,2,606.7012271,293.6032406,580.4494503,824.6460426,774.683899,749.8714845,707.8746926,922.8836213,612.5769103,304.5491881,593.6741868,771.4528442,693.2731816,790.5609413,837.7336416,1389.36379,37.47496364,126.8986765,26,1,0,1,0,11180,69195,4461,11515,158,13472,금천구
26,27,2019,1,신촌로,0.054741935,0.006935484,0.964516129,0.005612903,57.77419355,36.87096774,서울 마포구 노고산동 57-62 (신촌역 7번 출구),3,864.2507339,487.8311776,1177.814615,1182.492923,1188.487616,874.451055,690.4706458,1073.838645,867.3184567,488.1769774,1511.70219,1345.578468,1211.299964,913.5320687,851.0555071,1825.948582,37.55517177,126.9361424,18,1,0,1,0,11140,101177,4401,17048,244,12221,마포구
27,28,2019,1,양천구,0.045354839,0.010903226,0.780645161,0.003516129,72.41935484,40.03225806,서울 양천구 중앙로52길 56 신정4동 문화센터,3,955.0824468,626.6976579,680.9995453,712.2556995,910.0027912,867.7634975,716.3708932,952.883614,900.7117876,586.1291776,699.8811384,786.0401941,961.530305,936.9101265,864.0656056,1562.807804,37.52597518,126.8566021,13,0,0,1,0,11150,129193,5245,18578,552,15691,양천구
28,29,2019,1,영등포구,0.031419355,0.011870968,0.641935484,0.004451613,69.58064516,43.29032258,서울 영등포구 당산로 123 영등포구청 (당산동3가),3,738.7270613,331.7736513,800.3980211,1213.593038,998.4003575,854.3347104,748.2905541,1112.261519,739.1383151,312.3144344,931.1544328,1140.294906,871.479381,827.4250437,869.5239968,1669.178167,37.52596316,126.8963671,8,1,1,1,0,11190,117438,5476,16318,1163,19693,영등포구
29,30,2019,1,영등포로,0.052548387,0.007967742,0.935483871,0.005451613,56.64516129,30,서울 영등포구 영중로 37 (영등포시장사거리),2,738.7270613,331.7736513,800.3980211,1213.593038,998.4003575,854.3347104,748.2905541,1112.261519,739.1383151,312.3144344,931.1544328,1140.294906,871.479381,827.4250437,869.5239968,1669.178167,37.51948008,126.9047117,9,1,0,1,0,11190,117438,5476,16318,1163,19693,영등포구
30,31,2019,1,은평구,0.032580645,0.015548387,0.864516129,0.005741935,63.77419355,33.06451613,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),2,1091.764014,611.782798,836.8912577,910.0784024,1096.117521,995.2425804,875.424277,1489.483925,989.967049,547.0585321,943.7320853,1024.910725,1150.637768,1109.967624,1153.123705,2484.619473,37.60987179,126.9343249,33,1,1,0,0,11120,110936,5420,20851,266,13432,은평구
31,32,2019,1,정릉로,0.058741935,0.008612903,0.725806452,0.005967742,70.16129032,41.90322581,서울 성북구 돈암동 8-164번지,3,911.3167324,510.769396,860.2558618,681.3937403,823.8230658,752.8082803,688.2607189,1117.634824,819.0125608,448.3550466,1081.129486,752.3538745,866.1845861,833.8084527,849.2934882,1905.059914,37.60352172,127.0259508,34,1,0,1,0,11080,100121,5304,26201,154,11045,성북구
32,33,2019,1,종로,0.039774194,0.012709677,0.741935484,0.004354839,61.93548387,33.22580645,서울 종로구 종로 169 (종묘주차장 앞),2,283.0389989,156.5746491,575.8122759,498.8782338,490.1842503,472.3443769,412.4779044,648.8387653,272.824497,160.2626539,584.6321395,446.086411,425.4139896,458.5760903,450.2895949,988.8544977,37.57091931,126.9965554,21,1,1,1,0,11010,41223,3910,13118,185,5403,종로구
33,34,2019,1,종로구,0.041612903,0.012967742,0.841935484,0.004580645,60.22580645,32.48387097,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",2,283.0389989,156.5746491,575.8122759,498.8782338,490.1842503,472.3443769,412.4779044,648.8387653,272.824497,160.2626539,584.6321395,446.086411,425.4139896,458.5760903,450.2895949,988.8544977,37.57206117,127.0050313,20,0,0,1,0,11010,41223,3910,13118,185,5403,종로구
34,35,2019,1,중구,0.042,0.014354839,0.722580645,0.004580645,59.70967742,33.4516129,서울 중구 덕수궁길 15 시청서소문별관 3동,2,271.4291333,119.9472232,496.8127475,639.5052669,553.7186632,464.50342,398.4395447,559.5904381,281.4328174,121.4380882,527.1480118,594.2747991,473.0222525,427.3429871,460.6702615,892.2630331,37.56455419,126.9756136,31,1,0,1,0,11020,41072,3379,14585,223,7220,중구
35,36,2019,1,중랑구,0.034870968,0.011870968,0.709677419,0.007258065,57.70967742,36.32258065,서울 중랑구 용마산로 369 건강가정지원센터,3,837.5009589,413.1857617,753.3983321,859.1095661,872.2349746,905.8202504,837.832456,1217.063121,825.7070087,397.942681,818.2055772,907.0292188,820.3308597,1012.993099,1014.313166,2008.64709,37.58491272,127.0940363,37,1,0,1,0,11070,93204,4923,24221,414,15618,중랑구
36,37,2019,1,천호대로,0.053935484,0.007967742,0.909677419,0.005645161,62.29032258,31.48387097,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),2,1050.551945,554.8330654,786.8976828,913.8714434,1016.953391,959.3809686,918.1938115,1278.124821,952.0670339,492.7388187,820.0414968,974.8712129,1050.131853,1076.579775,1167.344251,1906.923218,37.53415608,127.1393358,20,1,0,1,0,11250,115009,4803,16276,288,15538,강동구
37,38,2019,1,청계천로,0.043903226,0.011387097,0.870967742,0.005483871,53.51612903,34.19354839,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),2,271.4291333,119.9472232,496.8127475,639.5052669,553.7186632,464.50342,398.4395447,559.5904381,281.4328174,121.4380882,527.1480118,594.2747991,473.0222525,427.3429871,460.6702615,892.2630331,37.56863811,126.9981855,19,1,0,1,0,11020,41072,3379,14585,223,7220,중구
38,39,2019,1,한강대로,0.063419355,0.012741935,0.874193548,0.005387097,71.32258065,39.51612903,서울 용산구 한강대로 405 (서울역 앞),3,441.6722137,219.7868938,560.614046,776.7218938,708.051472,555.3526829,461.2684319,730.1202558,468.709401,230.0939897,652.0131444,784.5932895,655.8033228,518.5133696,545.8996861,1235.73768,37.5548376,126.9717326,26,1,0,1,0,11030,67740,2590,15983,135,7131,용산구
39,40,2019,1,행주,0.037387097,0.013806452,1.051612903,0.004903226,76,36.93548387,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),3,"1,448","1,368","1,483","1,920","2,392","2,134","1,713","1,081","1,318","1,251","1,393","1,980","2,249","2,140","1,717","1,363",37.60908701,126.7863203,19,0,1,0,1,31230,0,0,0,0,0,고촌읍
40,41,2019,1,홍릉로,0.030225806,0.009709677,0.751612903,0.00616129,68.19354839,42.12903226,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),3,816.7235355,411.8434982,1111.353789,862.8441387,939.700535,834.2178712,771.1304735,1286.090412,754.8901376,379.9824622,1268.090615,872.5668993,839.8773334,873.5583622,938.408076,2115.151139,37.58045291,127.0443683,14,0,0,1,0,11060,81190,3904,23663,175,13184,동대문구
41,42,2019,2,강남구,0.033642857,0.013928571,0.628571429,0.005928571,54.10714286,40.42857143,서울 강남구 학동로 426 강남구청 별관 1동,3,907.9663622,587.0498409,844.6823398,861.8553302,1291.400219,1036.914524,771.5376474,1207.782015,874.1442571,550.4646357,989.9557292,1226.295193,1227.739684,941.4390755,958.3049154,1763.948651,37.51796816,127.0470598,29,1,0,1,0,11230,211680,6327,16749,399,16434,강남구
42,43,2019,2,강남대로,0.054428571,0.010821429,0.832142857,0.005227273,64.89285714,37.89285714,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),3,899.9164046,508.5771452,806.236678,678.7758355,1162.124692,957.581125,757.161772,1223.807099,972.7457764,555.2851478,865.5693869,1072.688625,1139.818942,906.306351,921.992819,1845.201421,37.48182784,127.0359572,28,1,1,1,0,11220,159626,5151,12971,349,17126,서초구
43,44,2019,2,강동구,0.040071429,0.01475,0.632142857,0.004535714,58.10714286,38.60714286,서울 강동구 구천면로 42길 59 천호1동 주민센터,3,1028.436757,541.6412187,749.8115183,737.4758258,996.7579133,926.7539416,891.869763,1251.215256,920.7619805,474.3071563,792.5953877,936.33217,1008.887943,1036.039006,1133.261098,1864.609279,37.54500381,127.1368198,27,0,0,1,0,11250,115088,4810,16276,292,15535,강동구
44,45,2019,2,강변북로,0.053071429,0.010142857,0.553571429,0.00425,63.42857143,39.03571429,서울 성동구 강변북로 257 한강사업본부 옆,3,689.1497983,296.3468263,850.4778611,420.8469456,775.8821384,666.6426405,582.7123655,815.1952771,622.1330158,276.3881103,944.8432477,876.9284284,697.8636618,662.1968176,711.2626838,1377.850195,37.53896166,127.0416039,16,1,1,1,1,11040,89881,4015,20463,177,11150,성동구
45,46,2019,2,강서구,0.036964286,0.020178571,0.653571429,0.005785714,64.75,34.67857143,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,2,1077.48872,484.8772527,773.8352541,632.3955893,1116.219135,872.2311238,841.6765005,1248.235268,1092.723839,479.401415,912.95825,1242.546014,1080.642775,951.0273054,1074.634114,1942.034863,37.54466973,126.8351791,20,0,0,1,0,11160,173856,7829,18553,412,21706,강서구
46,47,2019,2,공항대로,0.04275,0.013214286,0.675,0.005857143,59.71428571,37.89285714,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,3,1077.48872,484.8772527,773.8352541,632.3955893,1116.219135,872.2311238,841.6765005,1248.235268,1092.723839,479.401415,912.95825,1242.546014,1080.642775,951.0273054,1074.634114,1942.034863,37.55964945,126.8287913,9,1,0,1,0,11160,173856,7829,18553,412,21706,강서구
47,48,2019,2,관악구,0.041857143,0.015928571,0.589285714,0.004964286,62.53571429,38.92857143,서울 관악구 신림동길 14 신림동 주민센터,3,640.9578347,317.914625,1075.308276,496.2556265,950.2475187,726.4151301,641.5668827,1095.64334,641.4304587,312.5690721,1317.970626,1139.882283,809.7906413,770.5615673,836.8793935,1624.952534,37.487396,126.9271139,20,0,0,1,0,11210,103541,4853,24407,260,12660,관악구
48,49,2019,2,구로구,0.032571429,0.017714286,0.45,0.006071429,55.60714286,29.89285714,서울 구로구 가마산로 27길 45 구로고등학교,2,945.311136,419.7690219,729.7025993,521.0043826,1150.090151,920.9031069,855.9811226,1181.850735,892.9061502,390.6173905,815.3641629,1034.015684,969.743766,922.7187857,993.7492662,1702.928595,37.49884008,126.8903092,10,0,0,1,0,11170,120310,6385,15821,355,17634,구로구
49,50,2019,2,금천구,0.040357143,0.017035714,0.657142857,0.004285714,56.85714286,36.85714286,서울 금천구 금하로21길 20 시흥5동 주민센터,3,592.2309168,287.5558296,563.0276682,387.4015121,775.6254025,727.40428,691.2130632,914.2136096,613.8247479,306.1644879,572.465765,753.0895225,681.2464568,776.0613689,823.387615,1364.205653,37.45233457,126.9080537,25,0,0,1,0,11180,69338,4471,11475,160,13516,금천구
50,51,2019,2,남산,0.031071429,0.022035714,1.042857143,0.004892857,56.75,33.35714286,서울 용산구 남산공원길 103 (서울타워 별관 2층),2,447.5508967,221.9978141,578.3583699,327.4158174,693.388954,545.8450658,452.7213538,713.525408,464.7319161,227.5328438,619.7515629,759.9566299,635.5919891,507.415815,535.1559379,1221.265937,37.5511821,126.9876498,260,0,1,0,0,11030,67532,2576,15990,135,7093,용산구
51,52,2019,2,노원구,0.033857143,0.017321429,0.685714286,0.006142857,58.35714286,38.25,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),3,1038.188416,686.8441712,1022.793727,966.4486291,998.1934291,1052.678631,925.9173421,1309.856734,1002.552299,652.2144925,1065.168995,878.4083861,1098.637677,1190.353396,1147.033023,2362.644121,37.65748313,127.0678641,30,0,0,1,0,11110,134030,5808,14863,341,13534,노원구
52,53,2019,2,도봉구,0.024928571,0.023321429,0.846428571,0.004821429,52.35714286,32.85714286,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,2,791.7867551,436.9076059,689.5144837,565.1245503,772.5268523,762.7008763,796.3588531,1242.944249,717.518589,397.4749923,733.4659069,692.9765449,753.7853758,887.5911087,965.9930837,1988.211049,37.6542176,127.0290801,67,0,1,0,0,11100,82143,3920,14666,230,11092,도봉구
53,54,2019,2,도산대로,0.037269231,0.013071429,0.828571429,0.004107143,61.85714286,36.85714286,서울 강남구 도산대로 104 신사역2번출구 앞,3,907.9663622,587.0498409,844.6823398,861.8553302,1291.400219,1036.914524,771.5376474,1207.782015,874.1442571,550.4646357,989.9557292,1226.295193,1227.739684,941.4390755,958.3049154,1763.948651,37.51607746,127.0203412,24,1,0,1,0,11230,211680,6327,16749,399,16434,강남구
54,55,2019,2,동대문구,0.039285714,0.018285714,0.625,0.008678571,54.53571429,39.39285714,서울 동대문구 천호대로13길 43 용두초등학교,3,818.3926666,411.4654747,989.8138778,554.845537,921.6210276,823.3571416,762.6206908,1260.885127,734.9124023,371.0897482,1133.479137,846.7957852,827.2119742,853.6067747,921.9384028,2072.860995,37.57640498,127.028382,18,1,0,1,0,11060,81221,3883,23629,164,13126,동대문구
55,56,2019,2,동작구,0.040678571,0.018642857,0.607142857,0.003857143,58.89285714,39.03571429,서울 동작구 사당로16아길 6 사당4동 주민센터,3,878.7220867,413.7775833,966.8943243,565.475886,986.2840662,820.2288169,784.2823817,1296.640262,914.937254,414.5295171,1093.647032,1068.029507,962.8952357,931.142491,1009.858616,2040.406269,37.48097575,126.9716337,26,0,0,1,0,11200,93618,3432,14983,383,8954,동작구
56,57,2019,2,동작대로,0.056107143,0.011035714,0.746428571,0.007607143,63.14285714,33.85714286,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,2,878.7220867,413.7775833,966.8943243,565.475886,986.2840662,820.2288169,784.2823817,1296.640262,914.937254,414.5295171,1093.647032,1068.029507,962.8952357,931.142491,1009.858616,2040.406269,37.48945977,126.9824745,12,1,0,1,0,11200,93618,3432,14983,383,8954,동작구
57,58,2019,2,북한산,0.01475,0.027928571,0.703571429,0.003857143,47.96428571,30.78571429,서울 강북구 삼양로 181길 387 (우이령 전경대 위),2,782.9266973,431.4268659,762.687681,566.1367783,882.0620365,844.912453,780.1289648,1458.404037,717.4122088,393.4708005,943.0328038,760.7875646,863.2608148,970.4416316,1017.235462,2395.670129,37.67901408,127.002294,114,0,1,0,0,11090,63802,4014,21735,161,9373,강북구
58,59,2019,2,서대문구,0.027428571,0.018928571,1.053571429,0.004571429,55.21428571,36.21428571,서울 서대문구 세검정로4길 32 (홍제3동 주민센터),3,835.3504224,407.6917018,968.859199,585.1075895,968.7393054,846.0849633,736.6653842,1229.986828,815.0394112,403.9517214,1382.152048,1007.730331,937.5858362,921.8388903,899.0185666,1984.710299,37.59376657,126.9496911,44,0,0,1,0,11130,75056,3439,14858,317,8686,서대문구
59,60,2019,2,서초구,0.036428571,0.017607143,0.453571429,0.004571429,54.35714286,31.03571429,서울 서초구 신반포로15길 16 반포 2동 주민센터,2,899.9164046,508.5771452,806.236678,678.7758355,1162.124692,957.581125,757.161772,1223.807099,972.7457764,555.2851478,865.5693869,1072.688625,1139.818942,906.306351,921.992819,1845.201421,37.50458542,126.9944717,10,0,0,1,0,11220,159626,5151,12971,349,17126,서초구
60,61,2019,2,성동구,0.039785714,0.018,0.642857143,0.003892857,66.32142857,40.10714286,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,3,689.1497983,296.3468263,850.4778611,420.8469456,775.8821384,666.6426405,582.7123655,815.1952771,622.1330158,276.3881103,944.8432477,876.9284284,697.8636618,662.1968176,711.2626838,1377.850195,37.54203238,127.0496885,11,0,0,1,0,11040,89881,4015,20463,177,11150,성동구
61,62,2019,2,성북구,0.03925,0.017321429,0.914285714,0.004035714,54.71428571,29.75,서울 성북구 삼양로2길 70 길음2동 주민센터,2,886.6340727,497.0721984,786.1451786,571.1086548,801.7023254,733.0020425,673.3608141,1090.162698,786.7249179,431.0218779,986.3749695,722.3219129,837.7708343,805.4463207,827.3385277,1861.546573,37.60681328,127.0272803,34,1,0,1,0,11080,100145,5286,26204,156,11044,성북구
62,63,2019,2,세곡,0.0415,0.016428571,1.389285714,0.006714286,56,33.03571429,서울 강남구 밤고개로 337 (세곡사거리),2,907.9663622,587.0498409,844.6823398,861.8553302,1291.400219,1036.914524,771.5376474,1207.782015,874.1442571,550.4646357,989.9557292,1226.295193,1227.739684,941.4390755,958.3049154,1763.948651,37.46408289,127.1090843,23,1,0,0,0,11230,211680,6327,16749,399,16434,강남구
