,ID,year,month,location,no2,o3,co,so2,pm10,pm2.5,address,Y,pop_men<10s,pop_men10s,pop_men20s,pop_men30s,pop_men40s,pop_men50s,pop_men60s,pop_men>70s,pop_women<10s,pop_women10s,pop_women20s,pop_women30s,pop_women40s,pop_women50s,pop_women60s,pop_women>70s,x,y,height,road,tree,building,river,car_sedan,car_van,car_twowheels,car_special,car_truck,gu,tax,rain_count,total_rain
13,14,2019,1,도산대로,0.035064516,0.009580645,1.022580645,0.004225806,70.80645161,38.32258065,서울 강남구 도산대로 104 신사역2번출구 앞,3,927.05 ,602.94 ,921.76 ,1214.63 ,1347.42 ,1085.88 ,798.85 ,1243.61 ,904.53 ,570.95 ,1067.53 ,1294.37 ,1278.06 ,993.79 ,998.26 ,1822.24 ,37.51607746,127.0203412,24,1,0,1,0,211579,6337,16766,402,16506,강남구,3457856,,
14,15,2019,1,동대문구,0.036903226,0.013483871,0.832258065,0.008290323,61.51612903,42.29032258,서울 동대문구 천호대로13길 43 용두초등학교,3,816.72 ,411.84 ,1111.35 ,862.84 ,939.70 ,834.22 ,771.13 ,1286.09 ,754.89 ,379.98 ,1268.09 ,872.57 ,839.88 ,873.56 ,938.41 ,2115.15 ,37.57640498,127.028382,18,1,0,1,0,81190,3904,23663,175,13184,동대문구,436483,,
15,16,2019,1,동작구,0.044322581,0.013193548,0.674193548,0.004290323,63.93548387,39.74193548,서울 동작구 사당로16아길 6 사당4동 주민센터,3,896.88 ,422.48 ,1067.87 ,1106.11 ,1014.99 ,833.54 ,796.69 ,1328.53 ,946.00 ,428.38 ,1191.98 ,1121.15 ,991.32 ,951.57 ,1048.11 ,2114.65 ,37.48097575,126.9716337,26,0,0,1,0,93380,3461,14962,386,8977,동작구,472049,,
16,17,2019,1,동작대로,0.039451613,0.007612903,0.790322581,0.007774194,71.38709677,36,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,3,896.88 ,422.48 ,1067.87 ,1106.11 ,1014.99 ,833.54 ,796.69 ,1328.53 ,946.00 ,428.38 ,1191.98 ,1121.15 ,991.32 ,951.57 ,1048.11 ,2114.65 ,37.48945977,126.9824745,12,1,0,1,0,93380,3461,14962,386,8977,동작구,472049,,
17,18,2019,1,마포구,0.03,0.010322581,0.677419355,0.003483871,73.29032258,38.22580645,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,3,864.25 ,487.83 ,1177.81 ,1182.49 ,1188.49 ,874.45 ,690.47 ,1073.84 ,867.32 ,488.18 ,1511.70 ,1345.58 ,1211.30 ,913.53 ,851.06 ,1825.95 ,37.55558837,126.9055913,8,0,0,1,0,101177,4401,17048,244,12221,마포구,793808,,
18,19,2019,1,북한산,0.017451613,0.022806452,0.65483871,0.00416129,57.16129032,33.03225806,서울 강북구 삼양로 181길 387 (우이령 전경대 위),2,794.49 ,437.98 ,809.63 ,770.49 ,899.03 ,851.66 ,797.36 ,1481.04 ,732.07 ,402.66 ,981.70 ,778.18 ,888.32 ,989.71 ,1032.93 ,2411.36 ,37.67901408,127.002294,114,0,1,0,0,63859,4032,21754,156,9371,강북구,234701,,
19,20,2019,1,서대문구,0.032354839,0.012451613,1.122580645,0.005419355,65.74193548,39.03225806,서울 서대문구 세검정로4길 32 (홍제3동 주민센터),3,837.95 ,410.02 ,1058.83 ,916.66 ,991.18 ,861.00 ,750.44 ,1253.25 ,819.68 ,406.34 ,1544.78 ,1054.11 ,966.28 ,946.61 ,924.55 ,2038.45 ,37.59376657,126.9496911,44,0,0,1,0,74741,3429,14879,314,8660,서대문구,399249,,
20,21,2019,1,서초구,0.038,0.012258065,0.506451613,0.005096774,63.41935484,29.67741935,서울 서초구 신반포로15길 16 반포 2동 주민센터,2,926.62 ,527.53 ,856.40 ,1037.30 ,1205.93 ,988.93 ,776.57 ,1258.34 ,1009.66 ,576.10 ,913.66 ,1123.37 ,1192.08 ,943.84 ,957.08 ,1899.12 ,37.50458542,126.9944717,10,0,0,1,0,159548,5206,13006,345,17140,서초구,2010972,,
21,22,2019,1,성동구,0.041903226,0.011903226,0.732258065,0.004032258,75.32258065,41.19354839,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,3,715.98 ,308.00 ,939.68 ,887.38 ,800.37 ,683.94 ,600.66 ,837.32 ,639.90 ,285.11 ,1028.09 ,940.74 ,730.54 ,690.30 ,741.79 ,1422.25 ,37.54203238,127.0496885,11,0,0,1,0,90341,4029,20522,178,11194,성동구,582273,,
22,23,2019,1,성북구,0.045096774,0.012387097,0.974193548,0.004677419,64,31.93548387,서울 성북구 삼양로2길 70 길음2동 주민센터,2,911.32 ,510.77 ,860.26 ,681.39 ,823.82 ,752.81 ,688.26 ,1117.63 ,819.01 ,448.36 ,1081.13 ,752.35 ,866.18 ,833.81 ,849.29 ,1905.06 ,37.60681328,127.0272803,34,1,0,1,0,100121,5304,26201,154,11045,성북구,460128,,
23,24,2019,1,세곡,0.04316129,0.01183871,1.767741935,0.006612903,63.32258065,30.5483871,서울 강남구 밤고개로 337 (세곡사거리),2,927.05 ,602.94 ,921.76 ,1214.63 ,1347.42 ,1085.88 ,798.85 ,1243.61 ,904.53 ,570.95 ,1067.53 ,1294.37 ,1278.06 ,993.79 ,998.26 ,1822.24 ,37.46408289,127.1090843,23,1,0,0,0,211579,6337,16766,402,16506,강남구,3457856,,
24,25,2019,1,송파구,0.047129032,0.009032258,0.767741935,0.00516129,68.12903226,36.70967742,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),3,1114.10 ,579.17 ,814.51 ,1064.82 ,1146.58 ,981.74 ,879.90 ,1161.20 ,1129.34 ,590.81 ,873.26 ,1187.66 ,1126.42 ,1066.98 ,1123.57 ,1792.45 ,37.50272901,127.0925211,14,1,0,1,0,203131,7329,19586,389,26847,송파구,1573934,,
25,26,2019,1,시흥대로,0.047903226,0.011290323,0.861290323,0.005774194,57.90322581,33.4516129,서울 금천구 독산동 996-9 한양수자인아파트 앞,2,606.70 ,293.60 ,580.45 ,824.65 ,774.68 ,749.87 ,707.87 ,922.88 ,612.58 ,304.55 ,593.67 ,771.45 ,693.27 ,790.56 ,837.73 ,1389.36 ,37.47496364,126.8986765,26,1,0,1,0,69195,4461,11515,158,13472,금천구,469419,,
26,27,2019,1,신촌로,0.054741935,0.006935484,0.964516129,0.005612903,57.77419355,36.87096774,서울 마포구 노고산동 57-62 (신촌역 7번 출구),3,864.25 ,487.83 ,1177.81 ,1182.49 ,1188.49 ,874.45 ,690.47 ,1073.84 ,867.32 ,488.18 ,1511.70 ,1345.58 ,1211.30 ,913.53 ,851.06 ,1825.95 ,37.55517177,126.9361424,18,1,0,1,0,101177,4401,17048,244,12221,마포구,793808,,
27,28,2019,1,양천구,0.045354839,0.010903226,0.780645161,0.003516129,72.41935484,40.03225806,서울 양천구 중앙로52길 56 신정4동 문화센터,3,955.08 ,626.70 ,681.00 ,712.26 ,910.00 ,867.76 ,716.37 ,952.88 ,900.71 ,586.13 ,699.88 ,786.04 ,961.53 ,936.91 ,864.07 ,1562.81 ,37.52597518,126.8566021,13,0,0,1,0,129193,5245,18578,552,15691,양천구,534297,,
28,29,2019,1,영등포구,0.031419355,0.011870968,0.641935484,0.004451613,69.58064516,43.29032258,서울 영등포구 당산로 123 영등포구청 (당산동3가),3,738.73 ,331.77 ,800.40 ,1213.59 ,998.40 ,854.33 ,748.29 ,1112.26 ,739.14 ,312.31 ,931.15 ,1140.29 ,871.48 ,827.43 ,869.52 ,1669.18 ,37.52596316,126.8963671,8,1,1,1,0,117438,5476,16318,1163,19693,영등포구,1377273,0,0
29,30,2019,1,영등포로,0.052548387,0.007967742,0.935483871,0.005451613,56.64516129,30,서울 영등포구 영중로 37 (영등포시장사거리),2,738.73 ,331.77 ,800.40 ,1213.59 ,998.40 ,854.33 ,748.29 ,1112.26 ,739.14 ,312.31 ,931.15 ,1140.29 ,871.48 ,827.43 ,869.52 ,1669.18 ,37.51948008,126.9047117,9,1,0,1,0,117438,5476,16318,1163,19693,영등포구,1377273,0,0
30,31,2019,1,은평구,0.032580645,0.015548387,0.864516129,0.005741935,63.77419355,33.06451613,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),2,1091.76 ,611.78 ,836.89 ,910.08 ,1096.12 ,995.24 ,875.42 ,1489.48 ,989.97 ,547.06 ,943.73 ,1024.91 ,1150.64 ,1109.97 ,1153.12 ,2484.62 ,37.60987179,126.9343249,33,1,1,0,0,110936,5420,20851,266,13432,은평구,394933,0,0
31,32,2019,1,정릉로,0.058741935,0.008612903,0.725806452,0.005967742,70.16129032,41.90322581,서울 성북구 돈암동 8-164번지,3,911.32 ,510.77 ,860.26 ,681.39 ,823.82 ,752.81 ,688.26 ,1117.63 ,819.01 ,448.36 ,1081.13 ,752.35 ,866.18 ,833.81 ,849.29 ,1905.06 ,37.60352172,127.0259508,34,1,0,1,0,100121,5304,26201,154,11045,성북구,460128,,
32,33,2019,1,종로,0.039774194,0.012709677,0.741935484,0.004354839,61.93548387,33.22580645,서울 종로구 종로 169 (종묘주차장 앞),2,283.04 ,156.57 ,575.81 ,498.88 ,490.18 ,472.34 ,412.48 ,648.84 ,272.82 ,160.26 ,584.63 ,446.09 ,425.41 ,458.58 ,450.29 ,988.85 ,37.57091931,126.9965554,21,1,1,1,0,41223,3910,13118,185,5403,종로구,989810,,
33,34,2019,1,종로구,0.041612903,0.012967742,0.841935484,0.004580645,60.22580645,32.48387097,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",2,283.04 ,156.57 ,575.81 ,498.88 ,490.18 ,472.34 ,412.48 ,648.84 ,272.82 ,160.26 ,584.63 ,446.09 ,425.41 ,458.58 ,450.29 ,988.85 ,37.57206117,127.0050313,20,0,0,1,0,41223,3910,13118,185,5403,종로구,989810,,
34,35,2019,1,중구,0.042,0.014354839,0.722580645,0.004580645,59.70967742,33.4516129,서울 중구 덕수궁길 15 시청서소문별관 3동,2,271.43 ,119.95 ,496.81 ,639.51 ,553.72 ,464.50 ,398.44 ,559.59 ,281.43 ,121.44 ,527.15 ,594.27 ,473.02 ,427.34 ,460.67 ,892.26 ,37.56455419,126.9756136,31,1,0,1,0,41072,3379,14585,223,7220,중구,1707929,,
35,36,2019,1,중랑구,0.034870968,0.011870968,0.709677419,0.007258065,57.70967742,36.32258065,서울 중랑구 용마산로 369 건강가정지원센터,3,837.50 ,413.19 ,753.40 ,859.11 ,872.23 ,905.82 ,837.83 ,1217.06 ,825.71 ,397.94 ,818.21 ,907.03 ,820.33 ,1012.99 ,1014.31 ,2008.65 ,37.58491272,127.0940363,37,1,0,1,0,93204,4923,24221,414,15618,중랑구,324915,,
36,37,2019,1,천호대로,0.053935484,0.007967742,0.909677419,0.005645161,62.29032258,31.48387097,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),2,1050.55 ,554.83 ,786.90 ,913.87 ,1016.95 ,959.38 ,918.19 ,1278.12 ,952.07 ,492.74 ,820.04 ,974.87 ,1050.13 ,1076.58 ,1167.34 ,1906.92 ,37.53415608,127.1393358,20,1,0,1,0,115009,4803,16276,288,15538,강동구,703426,,
37,38,2019,1,청계천로,0.043903226,0.011387097,0.870967742,0.005483871,53.51612903,34.19354839,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),2,271.43 ,119.95 ,496.81 ,639.51 ,553.72 ,464.50 ,398.44 ,559.59 ,281.43 ,121.44 ,527.15 ,594.27 ,473.02 ,427.34 ,460.67 ,892.26 ,37.56863811,126.9981855,19,1,0,1,0,41072,3379,14585,223,7220,중구,1707929,,
38,39,2019,1,한강대로,0.063419355,0.012741935,0.874193548,0.005387097,71.32258065,39.51612903,서울 용산구 한강대로 405 (서울역 앞),3,441.67 ,219.79 ,560.61 ,776.72 ,708.05 ,555.35 ,461.27 ,730.12 ,468.71 ,230.09 ,652.01 ,784.59 ,655.80 ,518.51 ,545.90 ,1235.74 ,37.5548376,126.9717326,26,1,0,1,0,67740,2590,15983,135,7131,용산구,764486,,
39,40,2019,1,행주,0.037387097,0.013806452,1.051612903,0.004903226,76,36.93548387,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),3,1448.00 ,1368.00 ,1483.00 ,1920.00 ,2392.00 ,2134.00 ,1713.00 ,1081.00 ,1318.00 ,1251.00 ,1393.00 ,1980.00 ,2249.00 ,2140.00 ,1717.00 ,1363.00 ,37.60908701,126.7863203,19,0,1,0,1,0,0,0,0,0,고촌읍,,,
40,41,2019,1,홍릉로,0.030225806,0.009709677,0.751612903,0.00616129,68.19354839,42.12903226,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),3,816.72 ,411.84 ,1111.35 ,862.84 ,939.70 ,834.22 ,771.13 ,1286.09 ,754.89 ,379.98 ,1268.09 ,872.57 ,839.88 ,873.56 ,938.41 ,2115.15 ,37.58045291,127.0443683,14,0,0,1,0,81190,3904,23663,175,13184,동대문구,436483,,
41,42,2019,2,강남구,0.033642857,0.013928571,0.628571429,0.005928571,54.10714286,40.42857143,서울 강남구 학동로 426 강남구청 별관 1동,3,907.97 ,587.05 ,844.68 ,861.86 ,1291.40 ,1036.91 ,771.54 ,1207.78 ,874.14 ,550.46 ,989.96 ,1226.30 ,1227.74 ,941.44 ,958.30 ,1763.95 ,37.51796816,127.0470598,29,1,0,1,0,211680,6327,16749,399,16434,강남구,3457856,9,89
42,43,2019,2,강남대로,0.054428571,0.010821429,0.832142857,0.005227273,64.89285714,37.89285714,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),3,899.92 ,508.58 ,806.24 ,678.78 ,1162.12 ,957.58 ,757.16 ,1223.81 ,972.75 ,555.29 ,865.57 ,1072.69 ,1139.82 ,906.31 ,921.99 ,1845.20 ,37.48182784,127.0359572,28,1,1,1,0,159626,5151,12971,349,17126,서초구,2010972,9,61
43,44,2019,2,강동구,0.040071429,0.01475,0.632142857,0.004535714,58.10714286,38.60714286,서울 강동구 구천면로 42길 59 천호1동 주민센터,3,1028.44 ,541.64 ,749.81 ,737.48 ,996.76 ,926.75 ,891.87 ,1251.22 ,920.76 ,474.31 ,792.60 ,936.33 ,1008.89 ,1036.04 ,1133.26 ,1864.61 ,37.54500381,127.1368198,27,0,0,1,0,115088,4810,16276,292,15535,강동구,703426,,
44,45,2019,2,강변북로,0.053071429,0.010142857,0.553571429,0.00425,63.42857143,39.03571429,서울 성동구 강변북로 257 한강사업본부 옆,3,689.15 ,296.35 ,850.48 ,420.85 ,775.88 ,666.64 ,582.71 ,815.20 ,622.13 ,276.39 ,944.84 ,876.93 ,697.86 ,662.20 ,711.26 ,1377.85 ,37.53896166,127.0416039,16,1,1,1,1,89881,4015,20463,177,11150,성동구,582273,8,51.5
45,46,2019,2,강서구,0.036964286,0.020178571,0.653571429,0.005785714,64.75,34.67857143,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,2,1077.49 ,484.88 ,773.84 ,632.40 ,1116.22 ,872.23 ,841.68 ,1248.24 ,1092.72 ,479.40 ,912.96 ,1242.55 ,1080.64 ,951.03 ,1074.63 ,1942.03 ,37.54466973,126.8351791,20,0,0,1,0,173856,7829,18553,412,21706,강서구,826542,,
46,47,2019,2,공항대로,0.04275,0.013214286,0.675,0.005857143,59.71428571,37.89285714,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,3,1077.49 ,484.88 ,773.84 ,632.40 ,1116.22 ,872.23 ,841.68 ,1248.24 ,1092.72 ,479.40 ,912.96 ,1242.55 ,1080.64 ,951.03 ,1074.63 ,1942.03 ,37.55964945,126.8287913,9,1,0,1,0,173856,7829,18553,412,21706,강서구,826542,,
47,48,2019,2,관악구,0.041857143,0.015928571,0.589285714,0.004964286,62.53571429,38.92857143,서울 관악구 신림동길 14 신림동 주민센터,3,640.96 ,317.91 ,1075.31 ,496.26 ,950.25 ,726.42 ,641.57 ,1095.64 ,641.43 ,312.57 ,1317.97 ,1139.88 ,809.79 ,770.56 ,836.88 ,1624.95 ,37.487396,126.9271139,20,0,0,1,0,103541,4853,24407,260,12660,관악구,406752,6,58
48,49,2019,2,구로구,0.032571429,0.017714286,0.45,0.006071429,55.60714286,29.89285714,서울 구로구 가마산로 27길 45 구로고등학교,2,945.31 ,419.77 ,729.70 ,521.00 ,1150.09 ,920.90 ,855.98 ,1181.85 ,892.91 ,390.62 ,815.36 ,1034.02 ,969.74 ,922.72 ,993.75 ,1702.93 ,37.49884008,126.8903092,10,0,0,1,0,120310,6385,15821,355,17634,구로구,477101,3,23.5
49,50,2019,2,금천구,0.040357143,0.017035714,0.657142857,0.004285714,56.85714286,36.85714286,서울 금천구 금하로21길 20 시흥5동 주민센터,3,592.23 ,287.56 ,563.03 ,387.40 ,775.63 ,727.40 ,691.21 ,914.21 ,613.82 ,306.16 ,572.47 ,753.09 ,681.25 ,776.06 ,823.39 ,1364.21 ,37.45233457,126.9080537,25,0,0,1,0,69338,4471,11475,160,13516,금천구,469419,6,50.5
50,51,2019,2,남산,0.031071429,0.022035714,1.042857143,0.004892857,56.75,33.35714286,서울 용산구 남산공원길 103 (서울타워 별관 2층),2,447.55 ,222.00 ,578.36 ,327.42 ,693.39 ,545.85 ,452.72 ,713.53 ,464.73 ,227.53 ,619.75 ,759.96 ,635.59 ,507.42 ,535.16 ,1221.27 ,37.5511821,126.9876498,260,0,1,0,0,67532,2576,15990,135,7093,용산구,764486,9,50.5
51,52,2019,2,노원구,0.033857143,0.017321429,0.685714286,0.006142857,58.35714286,38.25,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),3,1038.19 ,686.84 ,1022.79 ,966.45 ,998.19 ,1052.68 ,925.92 ,1309.86 ,1002.55 ,652.21 ,1065.17 ,878.41 ,1098.64 ,1190.35 ,1147.03 ,2362.64 ,37.65748313,127.0678641,30,0,0,1,0,134030,5808,14863,341,13534,노원구,346657,6,58
52,53,2019,2,도봉구,0.024928571,0.023321429,0.846428571,0.004821429,52.35714286,32.85714286,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,2,791.79 ,436.91 ,689.51 ,565.12 ,772.53 ,762.70 ,796.36 ,1242.94 ,717.52 ,397.47 ,733.47 ,692.98 ,753.79 ,887.59 ,965.99 ,1988.21 ,37.6542176,127.0290801,67,0,1,0,0,82143,3920,14666,230,11092,도봉구,252935,3,32.5
53,54,2019,2,도산대로,0.037269231,0.013071429,0.828571429,0.004107143,61.85714286,36.85714286,서울 강남구 도산대로 104 신사역2번출구 앞,3,907.97 ,587.05 ,844.68 ,861.86 ,1291.40 ,1036.91 ,771.54 ,1207.78 ,874.14 ,550.46 ,989.96 ,1226.30 ,1227.74 ,941.44 ,958.30 ,1763.95 ,37.51607746,127.0203412,24,1,0,1,0,211680,6327,16749,399,16434,강남구,3457856,9,89
54,55,2019,2,동대문구,0.039285714,0.018285714,0.625,0.008678571,54.53571429,39.39285714,서울 동대문구 천호대로13길 43 용두초등학교,3,818.39 ,411.47 ,989.81 ,554.85 ,921.62 ,823.36 ,762.62 ,1260.89 ,734.91 ,371.09 ,1133.48 ,846.80 ,827.21 ,853.61 ,921.94 ,2072.86 ,37.57640498,127.028382,18,1,0,1,0,81221,3883,23629,164,13126,동대문구,436483,8,53.5
55,56,2019,2,동작구,0.040678571,0.018642857,0.607142857,0.003857143,58.89285714,39.03571429,서울 동작구 사당로16아길 6 사당4동 주민센터,3,878.72 ,413.78 ,966.89 ,565.48 ,986.28 ,820.23 ,784.28 ,1296.64 ,914.94 ,414.53 ,1093.65 ,1068.03 ,962.90 ,931.14 ,1009.86 ,2040.41 ,37.48097575,126.9716337,26,0,0,1,0,93618,3432,14983,383,8954,동작구,472049,9,56
56,57,2019,2,동작대로,0.056107143,0.011035714,0.746428571,0.007607143,63.14285714,33.85714286,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,2,878.72 ,413.78 ,966.89 ,565.48 ,986.28 ,820.23 ,784.28 ,1296.64 ,914.94 ,414.53 ,1093.65 ,1068.03 ,962.90 ,931.14 ,1009.86 ,2040.41 ,37.48945977,126.9824745,12,1,0,1,0,93618,3432,14983,383,8954,동작구,472049,9,56
57,58,2019,2,북한산,0.01475,0.027928571,0.703571429,0.003857143,47.96428571,30.78571429,서울 강북구 삼양로 181길 387 (우이령 전경대 위),2,782.93 ,431.43 ,762.69 ,566.14 ,882.06 ,844.91 ,780.13 ,1458.40 ,717.41 ,393.47 ,943.03 ,760.79 ,863.26 ,970.44 ,1017.24 ,2395.67 ,37.67901408,127.002294,114,0,1,0,0,63802,4014,21735,161,9373,강북구,234701,3,27.5
58,59,2019,2,서대문구,0.027428571,0.018928571,1.053571429,0.004571429,55.21428571,36.21428571,서울 서대문구 세검정로4길 32 (홍제3동 주민센터),3,835.35 ,407.69 ,968.86 ,585.11 ,968.74 ,846.08 ,736.67 ,1229.99 ,815.04 ,403.95 ,1382.15 ,1007.73 ,937.59 ,921.84 ,899.02 ,1984.71 ,37.59376657,126.9496911,44,0,0,1,0,75056,3439,14858,317,8686,서대문구,399249,4,23
59,60,2019,2,서초구,0.036428571,0.017607143,0.453571429,0.004571429,54.35714286,31.03571429,서울 서초구 신반포로15길 16 반포 2동 주민센터,2,899.92 ,508.58 ,806.24 ,678.78 ,1162.12 ,957.58 ,757.16 ,1223.81 ,972.75 ,555.29 ,865.57 ,1072.69 ,1139.82 ,906.31 ,921.99 ,1845.20 ,37.50458542,126.9944717,10,0,0,1,0,159626,5151,12971,349,17126,서초구,2010972,9,61
